iter	Logloss
0	0.6694464302
1	0.6473378607
2	0.6288369254
3	0.611127459
4	0.5951354918
5	0.5809116265
6	0.5682307841
7	0.5572263351
8	0.5476809046
9	0.5386247582
10	0.5310561272
11	0.5232941303
12	0.5169940601
13	0.5107280274
14	0.505219813
15	0.5001115312
16	0.4955449183
17	0.4914257179
18	0.487381778
19	0.484034772
20	0.4807627373
21	0.4776446122
22	0.4747489421
23	0.4723197711
24	0.4699000553
25	0.4676741905
26	0.4655027877
27	0.4634229962
28	0.4618664818
29	0.4603600505
30	0.4590054358
31	0.4574914832
32	0.4561520848
33	0.4548807478
34	0.4536967678
35	0.452592446
36	0.4515498305
37	0.4505358003
38	0.4495709633
39	0.4488003195
40	0.4479156392
41	0.4471719775
42	0.4465501634
43	0.4459152781
44	0.4451803984
45	0.4445934922
46	0.4440565455
47	0.4433931514
48	0.4428389477
49	0.4423113046
50	0.4418157616
51	0.4414437361
52	0.4408986957
53	0.4403998686
54	0.4399920011
55	0.4396075763
56	0.4392081553
57	0.4388013294
58	0.4384248534
59	0.4381102945
60	0.4378121083
61	0.4375504174
62	0.4372485004
63	0.4369260055
64	0.4366610294
65	0.4363632777
66	0.4360650352
67	0.4358652119
68	0.4356477243
69	0.435355178
70	0.4351352809
71	0.4349441025
72	0.4347550952
73	0.4345575953
74	0.4343400578
75	0.4341734751
76	0.4339995676
77	0.4338285925
78	0.4336645548
79	0.433447146
80	0.4332980183
81	0.4330542044
82	0.4328892888
83	0.4326997613
84	0.432557816
85	0.4323964411
86	0.4322817417
87	0.432144478
88	0.4319869497
89	0.4318779661
90	0.4317291289
91	0.4316227096
92	0.4314976593
93	0.4313611826
94	0.431227199
95	0.4311086968
96	0.4309848479
97	0.430854183
98	0.4307513083
99	0.4306222393
100	0.4305245163
101	0.4304405981
102	0.4303387909
103	0.4302260751
104	0.4300713071
105	0.4299220033
106	0.4297744727
107	0.4296736672
108	0.4295868805
109	0.4294834979
110	0.4294113919
111	0.429318143
112	0.4291814645
113	0.4291134203
114	0.4290069781
115	0.428920686
116	0.4288356451
117	0.4287035606
118	0.4286303076
119	0.4285687416
120	0.4284731507
121	0.42840583
122	0.4283049119
123	0.4281884227
124	0.4280800692
125	0.4279874168
126	0.4279123652
127	0.4278400212
128	0.4277267182
129	0.4276145623
130	0.427539087
131	0.427432113
132	0.4273133739
133	0.4272521151
134	0.4271432406
135	0.4270758312
136	0.4269737437
137	0.4269114336
138	0.4268369699
139	0.4267595336
140	0.426690588
141	0.4265858833
142	0.4265105105
143	0.4264068272
144	0.4263267402
145	0.42623847
146	0.4261769857
147	0.426149909
148	0.4260807525
149	0.4259848201
150	0.4259088386
151	0.4258126364
152	0.4257196349
153	0.4256438646
154	0.4255760565
155	0.4255214661
156	0.4254524142
157	0.4254106789
158	0.4253559449
159	0.4253021002
160	0.4252169112
161	0.4251465977
162	0.4250415081
163	0.4249598671
164	0.4248913459
165	0.4247869711
166	0.4247688237
167	0.4246777778
168	0.4245790307
169	0.4245043954
170	0.4244237752
171	0.4243835611
172	0.4242920275
173	0.4242338718
174	0.4241419167
175	0.4240889803
176	0.4240119957
177	0.4239219727
178	0.4238529053
179	0.4237927394
180	0.4237312961
181	0.4236687301
182	0.423576576
183	0.4235135921
184	0.4234514229
185	0.4233967665
186	0.4233277887
187	0.4232640769
188	0.4231854019
189	0.4231052312
190	0.4230499308
191	0.4229851656
192	0.4229079787
193	0.4228577368
194	0.422811363
195	0.4227585798
196	0.4226552041
197	0.4225784895
198	0.422509694
199	0.4224303925
200	0.4223861625
201	0.4223387834
202	0.4222836429
203	0.4222307374
204	0.4221680396
205	0.4220805125
206	0.4220305132
207	0.4219756764
208	0.4219012076
209	0.4218455608
210	0.4217686149
211	0.4217083303
212	0.4216451945
213	0.4215972687
214	0.4215068356
215	0.4214240968
216	0.4213721551
217	0.4213025378
218	0.4212378415
219	0.4211599738
220	0.4211030499
221	0.4210608145
222	0.4210067674
223	0.4209491693
224	0.4208647748
225	0.4207962574
226	0.4207416665
227	0.4206621895
228	0.4206128749
229	0.4205532619
230	0.4204978252
231	0.4204696738
232	0.4203786729
233	0.4203221422
234	0.4202409098
235	0.4201996174
236	0.420146839
237	0.4201020451
238	0.420006358
239	0.4199181154
240	0.4198450003
241	0.419802709
242	0.4197138202
243	0.4196726007
244	0.4195788458
245	0.4195173284
246	0.4194332302
247	0.4193590865
248	0.4192898346
249	0.4192427182
250	0.4191505355
251	0.419060207
252	0.4189673617
253	0.4189181373
254	0.4188272028
255	0.4187675657
256	0.418677473
257	0.4186275434
258	0.4185416335
259	0.4184604043
260	0.4183902981
261	0.4183241515
262	0.4182343266
263	0.4181573395
264	0.4180694092
265	0.4180082115
266	0.4179264636
267	0.4178787704
268	0.4178107009
269	0.4177322947
270	0.4176780166
271	0.4176161073
272	0.4175310851
273	0.4174529951
274	0.4173993321
275	0.4173312137
276	0.4172523399
277	0.4171856698
278	0.4170972491
279	0.4170326324
280	0.4169762515
281	0.4168906676
282	0.4168377479
283	0.4167735092
284	0.4167059394
285	0.4166501286
286	0.4166014047
287	0.4165489106
288	0.4164927145
289	0.4164142322
290	0.4163636999
291	0.4163101359
292	0.4162625849
293	0.4162112559
294	0.416142196
295	0.4160668122
296	0.416006271
297	0.4159374203
298	0.4158636576
299	0.4158106077
300	0.4157231347
301	0.4156666446
302	0.4156205048
303	0.4155512324
304	0.4154757388
305	0.415437113
306	0.4153709621
307	0.4153135035
308	0.4152539672
309	0.415186347
310	0.4151373378
311	0.4150835645
312	0.4150401858
313	0.4149767767
314	0.4149379603
315	0.4148816056
316	0.414815057
317	0.4147564807
318	0.4147144609
319	0.4146356647
320	0.4145865492
321	0.4145255727
322	0.4144721298
323	0.4144316249
324	0.4143724446
325	0.414321652
326	0.4142605463
327	0.4142082767
328	0.4141554853
329	0.4141000216
330	0.414032362
331	0.4139737514
332	0.4139012803
333	0.4138535557
334	0.4137758034
335	0.4137301876
336	0.4136693184
337	0.4136206174
338	0.4135715028
339	0.4135030713
340	0.4134491075
341	0.4134109313
342	0.4133415012
343	0.4132810239
344	0.4132206411
345	0.4131692499
346	0.4131200321
347	0.4130438176
348	0.4129958779
349	0.4129483767
350	0.4128749326
351	0.4128167342
352	0.4127518013
353	0.4126897016
354	0.4125941595
355	0.4125300796
356	0.412494066
357	0.4124518363
358	0.4123840096
359	0.41234187
360	0.4122920233
361	0.4122622857
362	0.4121978107
363	0.4121451147
364	0.4120668644
365	0.412003079
366	0.4119529009
367	0.4119076211
368	0.4118540417
369	0.4118033826
370	0.4117428955
371	0.4116933721
372	0.4116337095
373	0.4115885247
374	0.4115346676
375	0.4114768118
376	0.4114365573
377	0.4113889602
378	0.4113403796
379	0.4112962911
380	0.4112209608
381	0.4111594687
382	0.4111136374
383	0.4110613996
384	0.4110083113
385	0.4109434291
386	0.4108909681
387	0.410820701
388	0.4107701648
389	0.4106755538
390	0.4106415645
391	0.4105905867
392	0.410536685
393	0.4104865219
394	0.4104328033
395	0.4103916142
396	0.4103210038
397	0.4102567449
398	0.4102047682
399	0.4101491874
400	0.4100766459
401	0.4100428157
402	0.4100081635
403	0.4099643773
404	0.4098977601
405	0.4098105316
406	0.4097508475
407	0.4096873733
408	0.4096323789
409	0.4095765113
410	0.4095173856
411	0.4094633145
412	0.4094238769
413	0.4093832634
414	0.4093162584
415	0.4092415194
416	0.4091593822
417	0.4091037388
418	0.4090450945
419	0.4089761384
420	0.4089149685
421	0.4088794534
422	0.4087841937
423	0.4087482622
424	0.4086975656
425	0.4086488525
426	0.4085842116
427	0.4085182212
428	0.408469495
429	0.4084072142
430	0.4083627563
431	0.4083037467
432	0.4082470629
433	0.4082086794
434	0.4081618689
435	0.4080990037
436	0.408048904
437	0.4079969617
438	0.4079390029
439	0.4078817082
440	0.4078348145
441	0.4077848767
442	0.407724977
443	0.4076841094
444	0.4076275337
445	0.4075489897
446	0.4074985138
447	0.4074328654
448	0.4073872001
449	0.4073235838
450	0.407276024
451	0.4072383573
452	0.4071664519
453	0.4071213403
454	0.407071323
455	0.4070281358
456	0.4069783228
457	0.4069311739
458	0.4068548342
459	0.4067997732
460	0.4067133528
461	0.4066563182
462	0.4065867748
463	0.4065321689
464	0.4064749771
465	0.4064274521
466	0.4063782555
467	0.4063349329
468	0.4062750797
469	0.4062102249
470	0.4061714649
471	0.406123668
472	0.4060728904
473	0.4060248468
474	0.4059905534
475	0.4059325183
476	0.4058668225
477	0.4058077479
478	0.4057804236
479	0.405741606
