iter	Passed	Remaining
0	332	166019
1	474	118077
2	565	93651
3	657	81544
4	752	74499
5	844	69493
6	961	67684
7	1102	67793
8	1233	67299
9	1364	66864
10	1485	66026
11	1606	65338
12	1729	64790
13	1823	63315
14	1904	61585
15	1995	60368
16	2086	59289
17	2176	58278
18	2304	58350
19	2413	57928
20	2517	57413
21	2635	57261
22	2740	56825
23	2853	56586
24	2952	56104
25	3048	55585
26	3156	55305
27	3260	54965
28	3338	54215
29	3419	53578
30	3508	53077
31	3614	52868
32	3719	52632
33	3825	52429
34	3929	52202
35	4029	51934
36	4135	51744
37	4229	51417
38	4327	51150
39	4422	50862
40	4542	50851
41	4636	50557
42	4729	50268
43	4811	49868
44	4903	49580
45	4997	49326
46	5092	49083
47	5193	48900
48	5277	48570
49	5382	48439
50	5471	48171
51	5573	48018
52	5673	47853
53	5795	47869
54	5915	47861
55	5994	47528
56	6070	47178
57	6150	46867
58	6248	46701
59	6320	46351
60	6427	46256
61	6525	46101
62	6622	45937
63	6713	45735
64	6798	45499
65	6903	45393
66	7006	45282
67	7112	45186
68	7209	45034
69	7330	45028
70	7420	44835
71	7517	44684
72	7593	44417
73	7684	44238
74	7783	44109
75	7874	43932
76	7965	43758
77	8059	43603
78	8150	43435
79	8244	43282
80	8335	43118
81	8433	42989
82	8522	42820
83	8620	42693
84	8720	42577
85	8810	42415
86	8903	42265
87	8998	42127
88	9096	42008
89	9189	41864
90	9280	41712
91	9368	41547
92	9457	41389
93	9558	41283
94	9651	41145
95	9738	40983
96	9835	40864
97	9928	40726
98	10006	40529
99	10105	40421
100	10211	40340
101	10324	40286
102	10419	40160
103	10521	40061
104	10617	39940
105	10724	39861
106	10848	39843
107	10949	39741
108	11039	39601
109	11155	39549
110	11253	39439
111	11351	39323
112	11454	39227
113	11583	39219
114	11679	39102
115	11784	39009
116	11901	38960
117	12017	38905
118	12111	38776
119	12206	38654
120	12299	38526
121	12389	38387
122	12492	38290
123	12578	38141
124	12685	38055
125	12816	38043
126	12921	37951
127	13030	37870
128	13134	37775
129	13248	37707
130	13346	37594
131	13423	37423
132	13519	37304
133	13606	37164
134	13711	37070
135	13808	36958
136	13892	36808
137	13984	36683
138	14104	36630
139	14215	36554
140	14332	36492
141	14447	36425
142	14574	36386
143	14660	36244
144	14743	36095
145	14834	35968
146	14959	35922
147	15037	35765
148	15129	35640
149	15235	35549
150	15311	35389
151	15419	35303
152	15545	35257
153	15681	35232
154	15797	35163
155	15911	35086
156	15997	34950
157	16099	34847
158	16200	34745
159	16313	34665
160	16418	34571
161	16497	34421
162	16608	34338
163	16700	34216
164	16803	34116
165	16907	34018
166	17059	34017
167	17413	34413
168	17644	34557
169	17760	34476
170	17865	34373
171	17955	34240
172	18044	34106
173	18144	33994
174	18236	33868
175	18355	33791
176	18465	33696
177	18582	33615
178	18692	33521
179	18815	33450
180	18945	33390
181	19051	33287
182	19138	33152
183	19235	33035
184	19344	32937
185	19447	32830
186	19542	32709
187	19621	32563
188	19716	32443
189	19814	32329
190	19968	32305
191	20088	32225
192	20184	32106
193	20272	31976
194	20357	31841
195	20432	31690
196	20558	31620
197	20644	31488
198	20740	31370
199	20834	31251
200	20946	31159
201	21061	31070
202	21146	30938
203	21236	30813
204	21336	30703
205	21433	30589
206	21542	30492
207	21639	30377
208	21729	30254
209	21823	30137
210	21924	30028
211	22037	29937
212	22136	29827
213	22232	29712
214	22325	29594
215	22437	29501
216	22531	29383
217	22607	29244
218	22707	29135
219	22798	29016
220	22900	28910
221	23018	28824
222	23113	28709
223	23203	28589
224	23304	28483
225	23407	28379
226	23502	28264
227	23593	28146
228	23691	28036
229	23789	27926
230	23873	27800
231	23962	27680
232	24057	27568
233	24135	27436
234	24215	27307
235	24298	27181
236	24386	27061
237	24465	26933
238	24561	26822
239	24637	26690
240	24721	26568
241	24813	26453
242	24919	26355
243	25004	26234
244	25105	26130
245	25219	26040
246	25328	25944
247	25423	25834
248	25507	25711
249	25592	25592
250	25679	25475
251	25756	25348
252	25850	25237
253	25928	25111
254	26010	24990
255	26083	24861
256	26158	24733
257	26232	24606
258	26338	24508
259	26510	24471
260	26603	24360
261	26676	24232
262	26751	24106
263	26826	23980
264	26911	23865
265	27024	23773
266	27171	23711
267	27271	23608
268	27347	23484
269	27429	23365
270	27502	23239
271	27571	23111
272	27652	22992
273	27728	22870
